,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
5721,31-50,Male,,,No defect,Office areas,No junction,5,na,No distancing,Slight Injury
5722,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,No junction,5,Female,Other,Slight Injury
5723,18-30,Male,Elementary school,2-5yr,No defect,Other,No junction,5,Male,Changing lane to the right,Slight Injury
5724,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,5,Female,Changing lane to the right,Slight Injury
5725,31-50,Male,Junior high school,Below 1yr,No defect,Residential areas,No junction,1,Female,No distancing,Slight Injury
5726,31-50,Male,Junior high school,5-10yr,No defect, Industrial areas,No junction,1,Female,No distancing,Slight Injury
5727,31-50,Male,High school,Above 10yr,No defect,Other,Y Shape,1,na,Overturning,Slight Injury
5728,Unknown,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,1,na,Driving at high speed,Serious Injury
5729,31-50,Male,Elementary school,1-2yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Serious Injury
5730,Unknown,Male,Junior high school,,,Other,Y Shape,1,na,No priority to pedestrian,Slight Injury
5731,31-50,Male,Elementary school,1-2yr,No defect,Other,Y Shape,1,Female,No priority to vehicle,Slight Injury
5732,18-30,Male,Junior high school,1-2yr,No defect,Other,No junction,1,Male,Other,Slight Injury
5733,18-30,Male,Above high school,1-2yr,7,Office areas,No junction,1,na,Other,Slight Injury
5734,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Moving Backward,Slight Injury
5735,18-30,Male,Junior high school,5-10yr,,,Y Shape,1,na,No distancing,Slight Injury
5736,Over 51,Male,Elementary school,5-10yr,No defect,Other,Y Shape,1,Male,Moving Backward,Slight Injury
5737,31-50,Male,High school,Below 1yr,,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
5738,18-30,Male,Junior high school,Above 10yr,,Office areas,Y Shape,1,na,Driving carelessly,Slight Injury
5739,Under 18,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,3,na,No distancing,Slight Injury
5740,Under 18,Male,Junior high school,Below 1yr,No defect, Church areas,Y Shape,3,Male,Other,Slight Injury
5741,Under 18,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,3,Female,Changing lane to the right,Slight Injury
5742,Unknown,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,3,na,No distancing,Slight Injury
5743,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Driving carelessly,Slight Injury
5744,Over 51,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Female,No distancing,Slight Injury
5745,Unknown,Male,Junior high school,1-2yr,No defect,Residential areas,No junction,1,Male,No priority to vehicle,Slight Injury
5746,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,No junction,1,na,Changing lane to the right,Slight Injury
5747,31-50,Male,Junior high school,1-2yr,,Residential areas,No junction,1,na,No priority to pedestrian,Slight Injury
5748,18-30,Male,High school,2-5yr,,Office areas,No junction,1,Female,No priority to vehicle,Slight Injury
5749,Over 51,Male,High school,Above 10yr,No defect,Residential areas,No junction,1,na,Changing lane to the left,Slight Injury
5750,Under 18,Male,Elementary school,2-5yr,No defect,Other,No junction,1,Male,Turnover,Slight Injury
5751,18-30,Male,Junior high school,Above 10yr,No defect,Other,Other,1,na,Driving to the left,Slight Injury
5752,31-50,Male,High school,2-5yr,,Other,Other,1,Male,Driving carelessly,Slight Injury
5753,18-30,Male,Junior high school,No Licence,No defect,School areas,Other,1,na,Driving to the left,Slight Injury
5754,Under 18,Male,Junior high school,1-2yr,No defect,School areas,Other,1,Male,Driving carelessly,Slight Injury
5755,Unknown,Female,Junior high school,5-10yr,No defect,School areas,Y Shape,1,na,No priority to pedestrian,Slight Injury
5756,31-50,Male,Junior high school,1-2yr,No defect,Residential areas,Y Shape,1,Female,Driving carelessly,Slight Injury
5757,Unknown,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
5758,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
5759,18-30,Male,Junior high school,1-2yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
5760,Over 51,Male,Junior high school,2-5yr,No defect,School areas,No junction,1,Female,Changing lane to the right,Slight Injury
5761,18-30,Male,High school,1-2yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
5762,18-30,Male,Junior high school,1-2yr,No defect, Industrial areas,No junction,1,Female,Driving carelessly,Slight Injury
5763,Over 51,Male,Elementary school,Above 10yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
5764,Unknown,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
5765,18-30,Male,Elementary school,Above 10yr,No defect,Other,No junction,1,na,Changing lane to the right,Slight Injury
5766,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,na,Driving carelessly,Slight Injury
5767,Unknown,Female,Junior high school,1-2yr,No defect, Outside rural areas,No junction,1,Male,Overtaking,Slight Injury
5768,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,1,na,Changing lane to the right,Slight Injury
5769,31-50,Male,High school,2-5yr,No defect,Residential areas,No junction,1,Female,No distancing,Slight Injury
5770,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,1,na,Other,Slight Injury
5771,31-50,Male,Junior high school,5-10yr,,Office areas,No junction,1,Male,Changing lane to the right,Slight Injury
5772,31-50,Male,Junior high school,5-10yr,, Hospital areas,No junction,1,Female,Changing lane to the right,Slight Injury
5773,18-30,Male,Junior high school,2-5yr,, Industrial areas,No junction,1,Male,Overtaking,Slight Injury
5774,Unknown,Male,High school,Above 10yr,No defect,Other,No junction,3,Female,Other,Slight Injury
5775,18-30,Male,Elementary school,5-10yr,,Office areas,No junction,3,na,Driving to the left,Slight Injury
5776,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,3,Male,Overtaking,Slight Injury
5777,18-30,Male,Writing & reading,2-5yr,,Residential areas,No junction,3,Male,No priority to vehicle,Slight Injury
5778,18-30,Male,Junior high school,2-5yr,,Residential areas,No junction,1,Female,Moving Backward,Slight Injury
5779,Over 51,Male,High school,2-5yr,No defect,School areas,No junction,1,na,Other,Slight Injury
5780,31-50,Male,Junior high school,1-2yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
5781,31-50,Male,High school,5-10yr,No defect,  Market areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
5782,Over 51,Male,Elementary school,2-5yr,No defect,Office areas,No junction,1,Female,Changing lane to the right,Slight Injury
5783,Under 18,Male,Junior high school,1-2yr,No defect, Church areas,No junction,1,Female,Changing lane to the right,Slight Injury
5784,Unknown,Male,Elementary school,1-2yr,No defect, Church areas,No junction,1,na,Changing lane to the right,Slight Injury
5785,31-50,Male,High school,No Licence,No defect,Residential areas,No junction,1,Male,Driving to the left,Slight Injury
5786,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,na,Changing lane to the left,Slight Injury
5787,Unknown,Female,Junior high school,1-2yr,No defect,Residential areas,Y Shape,1,Male,Moving Backward,Slight Injury
5788,31-50,Male,Junior high school,2-5yr,No defect,Residential areas,Other,2,na,Driving at high speed,Slight Injury
5789,Under 18,Male,Junior high school,5-10yr,No defect,Other,Other,2,Male,Moving Backward,Slight Injury
5790,Under 18,Male,,,No defect,Other,No junction,1,Male,No distancing,Slight Injury
5791,Unknown,Female,,,No defect,Residential areas,No junction,1,na,Other,Serious Injury
5792,18-30,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,No priority to vehicle,Serious Injury
5793,31-50,Male,Junior high school,Above 10yr,No defect, Church areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
5794,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,Other,Slight Injury
5795,18-30,Male,,,No defect,Office areas,No junction,1,Male,No distancing,Slight Injury
5796,Over 51,Male,Elementary school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Driving carelessly,Slight Injury
5797,18-30,Male,,,,Residential areas,Y Shape,1,na,No distancing,Slight Injury
5798,Under 18,Male,Junior high school,5-10yr,,Other,Y Shape,2,na,Moving Backward,Slight Injury
5799,31-50,Male,Junior high school,Above 10yr,, Industrial areas,Y Shape,2,Male,No distancing,Slight Injury
5800,31-50,Male,High school,Above 10yr,,Office areas,No junction,2,Female,Moving Backward,Slight Injury
5801,31-50,Male,,,,  Recreational areas,No junction,2,Male,No priority to pedestrian,Slight Injury
5802,Unknown,Male,Elementary school,5-10yr,No defect,Residential areas,No junction,2,na,Changing lane to the left,Slight Injury
5803,18-30,Male,Elementary school,Above 10yr,,Residential areas,Y Shape,1,Male,No distancing,Slight Injury
5804,31-50,Male,Junior high school,Below 1yr,, Church areas,Y Shape,1,Male,Other,Slight Injury
5805,18-30,Male,Junior high school,2-5yr,,Residential areas,Other,1,na,No distancing,Slight Injury
5806,Unknown,Male,Junior high school,2-5yr,No defect,,Other,1,na,No priority to pedestrian,Slight Injury
5807,18-30,Male,High school,5-10yr,No defect,Other,No junction,1,Male,Moving Backward,Serious Injury
5808,31-50,Male,Junior high school,,,Other,No junction,1,na,No priority to pedestrian,Serious Injury
5809,31-50,Male,,Below 1yr,No defect, Church areas,No junction,2,na,No distancing,Slight Injury
5810,31-50,Male,Elementary school,Above 10yr,No defect,Other,No junction,2,na,No priority to pedestrian,Slight Injury
5811,18-30,Male,Elementary school,Below 1yr,No defect, Church areas,No junction,2,Male,Driving carelessly,Slight Injury
5812,Under 18,Male,Junior high school,5-10yr,No defect, Church areas,Crossing,1,na,Getting off the vehicle improperly,Slight Injury
5813,31-50,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,Female,Driving carelessly,Slight Injury
5814,18-30,Male,,,No defect,Other,No junction,1,na,Changing lane to the left,Slight Injury
5815,31-50,Male,Junior high school,1-2yr,No defect,School areas,No junction,1,Male,No priority to vehicle,Slight Injury
5816,31-50,Male,High school,5-10yr,No defect,Residential areas,Other,1,Male,Changing lane to the right,Slight Injury
5817,18-30,Male,Junior high school,5-10yr,No defect,Other,No junction,1,na,Changing lane to the right,Slight Injury
5818,Over 51,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Male,No distancing,Slight Injury
5819,Under 18,Female,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Female,No distancing,Serious Injury
5820,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,na,Changing lane to the left,Slight Injury
5821,Unknown,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Male,Changing lane to the right,Slight Injury
5822,Unknown,Male,Junior high school,No Licence,No defect,Residential areas,No junction,1,na,No priority to vehicle,Slight Injury
5823,Under 18,Male,Above high school,Below 1yr,No defect,Residential areas,No junction,1,Male,Changing lane to the left,Slight Injury
5824,31-50,Male,Elementary school,5-10yr,No defect,Other,Other,2,na,No priority to vehicle,Slight Injury
5825,Over 51,Male,Elementary school,5-10yr,No defect,Other,Other,2,Male,Moving Backward,Slight Injury
5826,Over 51,Male,Junior high school,5-10yr,No defect,Other,Other,2,na,Turnover,Slight Injury
5827,Over 51,Male,High school,5-10yr,No defect, Hospital areas,Other,2,na,No distancing,Slight Injury
5828,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,Male,No distancing,Slight Injury
5829,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,No junction,1,Male,No distancing,Slight Injury
5830,31-50,Male,Writing & reading,5-10yr,No defect,Residential areas,No junction,1,Female,Changing lane to the left,Slight Injury
5831,31-50,Male,Junior high school,Above 10yr,No defect,Other,Crossing,1,na,No priority to vehicle,Slight Injury
5832,Unknown,Male,Junior high school,1-2yr,No defect,Office areas,Crossing,1,Male,Driving at high speed,Slight Injury
5833,18-30,Male,Writing & reading,Below 1yr,No defect,Other,Crossing,2,na,Overtaking,Slight Injury
5834,Over 51,Male,Elementary school,1-2yr,No defect,Office areas,Crossing,2,Male,Other,Slight Injury
5835,Over 51,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Female,Changing lane to the left,Serious Injury
5836,Under 18,Male,Elementary school,Above 10yr,No defect,Office areas,Other,2,Female,No priority to pedestrian,Serious Injury
5837,Under 18,Male,Junior high school,5-10yr,No defect,Office areas,Other,2,na,Changing lane to the left,Serious Injury
5838,Under 18,Male,Elementary school,2-5yr,No defect,Other,Other,2,Male,No distancing,Serious Injury
5839,Unknown,Male,Junior high school,2-5yr,No defect,Office areas,No junction,1,Male,Moving Backward,Serious Injury
5840,Over 51,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,na,Changing lane to the left,Slight Injury
5841,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,1,Female,Other,Slight Injury
5842,Unknown,Female,Junior high school,Below 1yr,,Other,No junction,1,Male,No distancing,Slight Injury
5843,18-30,Male,Junior high school,2-5yr,,Residential areas,No junction,1,Female,Moving Backward,Slight Injury
5844,Over 51,Male,Junior high school,Above 10yr,No defect,Residential areas,Y Shape,2,na,No distancing,Slight Injury
5845,Under 18,Male,Junior high school,2-5yr,, Church areas,Y Shape,2,Female,Changing lane to the left,Slight Injury
5846,Under 18,Male,Elementary school,Above 10yr,,Other,Y Shape,2,Male,Changing lane to the left,Slight Injury
5847,Over 51,Male,Elementary school,Above 10yr,,Residential areas,Y Shape,2,na,No priority to pedestrian,Slight Injury
5848,18-30,Male,Elementary school,Above 10yr,,Other,Y Shape,1,Male,Changing lane to the left,Slight Injury
5849,31-50,Male,Junior high school,Above 10yr,,Residential areas,Y Shape,1,na,Driving carelessly,Slight Injury
5850,Unknown,Male,Junior high school,Below 1yr,,Residential areas,No junction,1,Male,Driving carelessly,Serious Injury
5851,31-50,Male,Elementary school,5-10yr,No defect,Other,No junction,1,na,No priority to pedestrian,Serious Injury
5852,18-30,Male,Junior high school,2-5yr,,Other,No junction,1,Female,Getting off the vehicle improperly,Serious Injury
5853,Unknown,Female,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,No distancing,Slight Injury
5854,18-30,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,1,Female,Changing lane to the left,Slight Injury
5855,18-30,Male,Junior high school,2-5yr,,Residential areas,Y Shape,2,na,No priority to vehicle,Serious Injury
5856,18-30,Male,Junior high school,Above 10yr,,  Recreational areas,Y Shape,2,Male,No distancing,Serious Injury
5857,18-30,Male,Writing & reading,2-5yr,,Other,No junction,1,na,No priority to pedestrian,Slight Injury
5858,31-50,Male,Junior high school,2-5yr,,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
5859,Under 18,Male,High school,2-5yr,,Other,No junction,1,na,No priority to vehicle,Slight Injury
5860,Under 18,Male,Junior high school,1-2yr,,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
5861,18-30,Male,High school,5-10yr,,Office areas,No junction,2,na,Changing lane to the right,Slight Injury
5862,31-50,Male,Elementary school,2-5yr,,Office areas,No junction,2,Male,Changing lane to the left,Slight Injury
5863,31-50,Male,Junior high school,1-2yr,No defect,Other,No junction,2,Male,Moving Backward,Slight Injury
5864,18-30,Male,Elementary school,1-2yr,,Other,No junction,1,Female,Driving carelessly,Slight Injury
5865,18-30,Male,High school,No Licence,No defect,Office areas,No junction,1,na,Driving to the left,Slight Injury
5866,Unknown,Female,Junior high school,5-10yr,,Residential areas,Y Shape,1,na,Driving to the left,Slight Injury
5867,Under 18,Male,Junior high school,1-2yr,,  Recreational areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
5868,31-50,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,Changing lane to the left,Serious Injury
5869,Unknown,Male,Junior high school,5-10yr,No defect,Residential areas,No junction,1,Male,Changing lane to the right,Serious Injury
5870,31-50,Male,,,No defect,Other,Other,1,Male,Driving carelessly,Slight Injury
5871,Unknown,Male,,,,Other,Other,1,na,No distancing,Slight Injury
5872,31-50,Male,Junior high school,2-5yr,,Other,No junction,1,na,Getting off the vehicle improperly,Slight Injury
5873,31-50,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Male,Driving under the influence of drugs,Slight Injury
5874,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,2,Female,Changing lane to the right,Slight Injury
5875,18-30,Male,,,No defect,School areas,No junction,2,na,Driving carelessly,Slight Injury
5876,18-30,Male,Elementary school,Above 10yr,No defect,Office areas,No junction,2,Male,Moving Backward,Slight Injury
5877,Over 51,Male,,,No defect,Office areas,No junction,1,na,Turnover,Slight Injury
5878,Over 51,Male,Junior high school,5-10yr,No defect,Office areas,No junction,1,Female,Changing lane to the right,Slight Injury
5879,31-50,Male,Junior high school,Above 10yr,No defect,School areas,Y Shape,1,na,Driving carelessly,Serious Injury
5880,31-50,Male,High school,Above 10yr,No defect,School areas,Y Shape,1,na,No priority to vehicle,Serious Injury
5881,31-50,Male,,,No defect,Office areas,Crossing,1,Male,Moving Backward,Slight Injury
5882,31-50,Male,Elementary school,5-10yr,No defect,Office areas,Crossing,1,na,Changing lane to the left,Slight Injury
5883,Over 51,Male,Elementary school,Above 10yr,No defect,School areas,Y Shape,1,na,Overturning,Slight Injury
5884,31-50,Male,Junior high school,Below 1yr,No defect,,Y Shape,1,Female,No distancing,Slight Injury
5885,18-30,Male,Junior high school,2-5yr,No defect,Other,No junction,1,Female,Driving carelessly,Fatal injury
5886,18-30,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,No distancing,Slight Injury
5887,Unknown,Male,High school,5-10yr,No defect,Other,No junction,1,na,Changing lane to the left,Slight Injury
5888,18-30,Male,Junior high school,,No defect,Residential areas,No junction,1,Male,No priority to pedestrian,Slight Injury
5889,31-50,Male,,Below 1yr,No defect,Other,No junction,1,Female,No distancing,Slight Injury
5890,Unknown,Male,Elementary school,Above 10yr,No defect,Other,No junction,2,Female,No distancing,Slight Injury
5891,Over 51,Male,Elementary school,Below 1yr,No defect, Industrial areas,No junction,2,Male,Changing lane to the left,Slight Injury
5892,Over 51,Male,Junior high school,5-10yr,No defect,  Recreational areas,No junction,2,na,No distancing,Slight Injury
5893,Unknown,Female,Junior high school,5-10yr,No defect, Church areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
5894,18-30,Male,,,,Office areas,Y Shape,1,na,No distancing,Slight Injury
5895,18-30,Male,Junior high school,1-2yr,,Other,No junction,1,Male,No distancing,Slight Injury
5896,31-50,Male,High school,5-10yr,,Office areas,No junction,1,Male,No distancing,Slight Injury
5897,31-50,Male,Junior high school,5-10yr,,Office areas,No junction,1,Female,Changing lane to the left,Slight Injury
5898,31-50,Male,Junior high school,5-10yr,,Other,No junction,1,Female,Changing lane to the right,Slight Injury
5899,18-30,Male,Junior high school,5-10yr,,Residential areas,Crossing,2,Male,Moving Backward,Slight Injury
5900,31-50,Male,Junior high school,Above 10yr,,Office areas,Crossing,2,na,Changing lane to the right,Slight Injury
5901,Over 51,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,2,Female,No distancing,Slight Injury
5902,31-50,Male,Junior high school,No Licence,,School areas,Y Shape,2,na,Overtaking,Slight Injury
5903,31-50,Male,Above high school,Below 1yr,No defect,Office areas,Y Shape,2,Male,Other,Slight Injury
5904,18-30,Male,Elementary school,5-10yr,No defect,Other,Crossing,1,na,Other,Slight Injury
5905,31-50,Male,Elementary school,5-10yr,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
5906,31-50,Male,Junior high school,5-10yr,No defect, Church areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
5907,31-50,Male,High school,5-10yr,No defect,Office areas,No junction,1,na,No priority to vehicle,Slight Injury
5908,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Changing lane to the left,Slight Injury
5909,Over 51,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,1,na,Changing lane to the left,Serious Injury
5910,Unknown,Male,Writing & reading,5-10yr,No defect,Office areas,Y Shape,2,Male,Overtaking,Slight Injury
5911,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,2,Male,No distancing,Slight Injury
5912,18-30,Male,Junior high school,1-2yr,No defect, Church areas,Y Shape,2,Female,No priority to vehicle,Slight Injury
5913,Unknown,Male,Writing & reading,Below 1yr,No defect,Office areas,Crossing,1,Male,Changing lane to the right,Slight Injury
5914,Over 51,Male,Elementary school,1-2yr,No defect,Other,Crossing,1,na,Changing lane to the left,Slight Injury
5915,18-30,Male,Junior high school,5-10yr,,Other,No junction,1,Male,No distancing,Slight Injury
5916,18-30,Male,Junior high school,1-2yr,No defect, Church areas,No junction,1,Male,Driving carelessly,Slight Injury
5917,Unknown,Male,Elementary school,5-10yr,,School areas,No junction,1,na,No priority to pedestrian,Slight Injury
5918,18-30,Male,Junior high school,2-5yr,, Church areas,No junction,1,Female,Driving carelessly,Slight Injury
5919,31-50,Male,Junior high school,Below 1yr,,Office areas,No junction,1,Male,Moving Backward,Slight Injury
5920,31-50,Male,Writing & reading,5-10yr,No defect,Other,No junction,1,na,No distancing,Slight Injury
5921,Over 51,Male,Writing & reading,5-10yr,, Church areas,No junction,1,na,No distancing,Slight Injury
5922,Under 18,Male,Junior high school,5-10yr,No defect,Other,Other,1,Male,No distancing,Slight Injury
5923,18-30,Male,Junior high school,2-5yr,,Other,Other,1,na,Changing lane to the left,Slight Injury
5924,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,1,Male,Changing lane to the left,Slight Injury
5925,31-50,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,Moving Backward,Slight Injury
5926,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
5927,Unknown,Male,Junior high school,2-5yr,No defect,Residential areas,No junction,1,na,No priority to vehicle,Slight Injury
5928,18-30,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,na,Moving Backward,Slight Injury
5929,18-30,Male,Junior high school,Below 1yr,No defect, Church areas,No junction,1,Male,Driving carelessly,Slight Injury
5930,18-30,Male,Junior high school,5-10yr,No defect,,No junction,1,na,Driving carelessly,Slight Injury
5931,31-50,Male,Junior high school,2-5yr,,  Market areas,No junction,2,Male,Driving under the influence of drugs,Slight Injury
5932,31-50,Male,Elementary school,Below 1yr,,Other,No junction,2,Male,No priority to pedestrian,Slight Injury
5933,Over 51,Male,Junior high school,2-5yr,No defect,Other,No junction,1,na,No priority to vehicle,Serious Injury
5934,Over 51,Male,Junior high school,5-10yr,No defect, Church areas,No junction,1,Female,Driving carelessly,Serious Injury
5935,31-50,Male,High school,Above 10yr,No defect,Residential areas,No junction,2,Male,Moving Backward,Slight Injury
5936,31-50,Male,High school,Above 10yr,No defect,Other,No junction,2,Female,Driving carelessly,Slight Injury
5937,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,2,Male,No priority to vehicle,Slight Injury
5938,Unknown,Male,Elementary school,1-2yr,No defect,Other,No junction,1,Male,Changing lane to the right,Slight Injury
5939,31-50,Male,Elementary school,5-10yr,No defect,  Recreational areas,No junction,1,Male,Changing lane to the left,Slight Injury
5940,31-50,Male,Junior high school,5-10yr,No defect,  Recreational areas,No junction,1,na,No priority to vehicle,Slight Injury
5941,Under 18,Male,Junior high school,1-2yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
5942,Unknown,Female,Junior high school,5-10yr,No defect,Office areas,No junction,1,Female,Moving Backward,Slight Injury
5943,18-30,Male,High school,Above 10yr,No defect,Residential areas,Crossing,1,Female,No distancing,Slight Injury
5944,18-30,Male,,Below 1yr,No defect,Other,Crossing,1,Male,Changing lane to the left,Slight Injury
5945,31-50,Male,Writing & reading,5-10yr,,Residential areas,Y Shape,1,na,Changing lane to the left,Serious Injury
5946,Unknown,Male,Above high school,Above 10yr,No defect, Church areas,Y Shape,1,Female,No distancing,Slight Injury
5947,Under 18,Male,High school,Below 1yr,,Other,Y Shape,1,na,Changing lane to the left,Slight Injury
5948,31-50,Male,Junior high school,1-2yr,No defect,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
5949,Unknown,Female,Junior high school,Above 10yr,,Other,No junction,1,Male,Changing lane to the left,Slight Injury
5950,Over 51,Male,Junior high school,Above 10yr,,  Recreational areas,T Shape,1,Male,No distancing,Slight Injury
5951,18-30,Male,Junior high school,Above 10yr,No defect,Other,T Shape,1,na,Changing lane to the right,Slight Injury
5952,18-30,Male,Junior high school,No Licence,No defect,Office areas,No junction,2,Male,No distancing,Serious Injury
5953,Over 51,Male,Junior high school,1-2yr,No defect,Residential areas,No junction,2,Male,Driving to the left,Serious Injury
5954,Over 51,Male,Illiterate,1-2yr,No defect,Office areas,No junction,2,na,No distancing,Serious Injury
5955,Over 51,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,Male,Overtaking,Slight Injury
5956,Over 51,Male,Junior high school,1-2yr,No defect, Church areas,No junction,1,na,Driving under the influence of drugs,Slight Injury
5957,31-50,Male,Junior high school,2-5yr,No defect, Church areas,No junction,3,Male,No priority to pedestrian,Serious Injury
5958,18-30,Male,Unknown,5-10yr,No defect,Residential areas,No junction,3,Female,Moving Backward,Serious Injury
5959,18-30,Male,Unknown,Above 10yr,No defect,Other,No junction,3,Male,Changing lane to the right,Serious Injury
5960,31-50,Male,Junior high school,2-5yr,,Other,Other,2,na,Changing lane to the left,Slight Injury
5961,31-50,Male,Elementary school,Above 10yr,No defect,,Other,2,na,Changing lane to the right,Slight Injury
5962,31-50,Male,Writing & reading,5-10yr,,Residential areas,Other,2,na,Driving under the influence of drugs,Slight Injury
5963,18-30,Male,,,,Office areas,No junction,5,Male,No priority to vehicle,Fatal injury
5964,18-30,Male,Junior high school,5-10yr,,Residential areas,No junction,5,na,No priority to vehicle,Fatal injury
5965,18-30,Male,Junior high school,Below 1yr,No defect,Other,No junction,5,Female,Changing lane to the left,Fatal injury
5966,18-30,Male,Junior high school,2-5yr,No defect,Other,No junction,5,Male,Changing lane to the right,Fatal injury
5967,18-30,Male,Elementary school,2-5yr,No defect,  Recreational areas,No junction,5,Male,Changing lane to the right,Fatal injury
5968,18-30,Male,Junior high school,2-5yr,, Church areas,No junction,5,Male,Changing lane to the left,Fatal injury
5969,Under 18,Male,Junior high school,2-5yr,,School areas,Y Shape,1,na,Changing lane to the left,Slight Injury
5970,Under 18,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
5971,31-50,Male,Junior high school,5-10yr,,Other,Crossing,1,Male,Overtaking,Serious Injury
5972,18-30,Male,Junior high school,Above 10yr,,Residential areas,Crossing,1,na,Changing lane to the left,Serious Injury
5973,Over 51,Male,Elementary school,5-10yr,,Other,No junction,1,Male,Driving under the influence of drugs,Slight Injury
5974,Over 51,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
5975,Unknown,Male,Junior high school,Above 10yr,,Office areas,No junction,1,Female,Moving Backward,Slight Injury
5976,31-50,Male,Elementary school,,No defect,Residential areas,No junction,1,na,No distancing,Slight Injury
5977,Unknown,Male,Junior high school,5-10yr,No defect,Other,No junction,1,Male,No priority to vehicle,Slight Injury
5978,31-50,Male,Junior high school,5-10yr,,Residential areas,No junction,1,na,Overturning,Slight Injury
5979,18-30,Male,Junior high school,Below 1yr,No defect, Church areas,No junction,2,Female,Changing lane to the left,Slight Injury
5980,18-30,Male,,,No defect,Residential areas,No junction,2,na,No distancing,Slight Injury
5981,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Other,1,Female,Moving Backward,Slight Injury
5982,18-30,Male,Junior high school,5-10yr,No defect,Residential areas,Other,1,Male,No priority to vehicle,Slight Injury
